Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,United States,USA,20.27260737,20.27260737,20.09835178,19.95292042,19.86459161,19.85367334,19.54435875,19.38997441,19.30153642,19.14715208,19.14096609,19.1444588,18.87999459,18.73340959,18.23373267,18.02187751,17.51175518,17.66878558,17.689425,17.26833358,17.04592114,16.58055495,16.9564205,16.59888799,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,United States,USA,1.700631529,1.646271089,1.465119824,1.373518479,1.274323983,1.194755025,1.131527542,1.084319784,1.110684211,1.083015437,0.987613435,0.957186259,0.983526224,0.988141191,0.976823066,1.011474716,0.968439288,0.997271689,0.976331759,0.989981708,0.995616954,0.962207349,0.936548929,0.896552314,..,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5.98E+12,6.17E+12,6.54E+12,6.88E+12,7.31E+12,7.66E+12,8.10E+12,8.61E+12,9.09E+12,9.66E+12,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.74E+13,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,1.919329365,-0.07403686,3.555380611,2.7457867,4.037706218,2.719014088,3.795863813,4.486988633,4.449910962,4.68519975,4.092176435,0.975981897,1.786127404,2.8067755,3.785743356,3.345215888,2.666625986,1.778570372,-0.291621579,-2.775529444,2.53192038,1.601454273,2.321084741,2.219307991,2.388226907,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,23954.4433,24405.19248,25492.95555,26464.82173,27776.61653,28782.17502,30068.22721,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48374.05646,49781.35749,51456.65873,52980.04363,54629.49517,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,0.774475727,-1.400426526,2.129099161,1.399792741,2.769686624,1.503103151,2.595288033,3.236549276,3.23939248,3.489933672,2.940291761,-0.018489715,0.846125672,1.926956423,2.829653991,2.397045842,1.681416617,0.815188352,-1.230282288,-3.624123986,1.678271297,0.827493635,1.542403994,1.448877479,1.630559556,..
Internet users (per 100 people),IT.NET.USER.P2,United States,USA,0.784728502,1.163193726,1.724202539,2.271673294,4.862780635,9.237088297,16.41935296,21.61640097,30.09319659,35.84872446,43.07916264,49.08083159,58.78540388,61.69711712,64.75825648,67.96805292,68.93119327,75,74,71,71.69,69.72946076,79.3,84.2,87.36,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,United States,USA,44.42046121,44.50298008,44.58259125,44.68946815,45.15785966,45.20368276,45.33999121,45.48648372,45.46099248,45.58124888,45.54648729,45.56960239,45.66355846,45.83689406,45.78411023,45.76484087,45.75664362,45.80597904,45.95019076,46.12543051,46.20524112,46.05738182,45.93673144,45.79265794,..,..
"Labor force, total",SL.TLF.TOTL.IN,United States,USA,128187674,128775875,131047302,132506408,134973525,136898357,138936079,141406624,143515140,145427290,147304598,148424613,149157182,149776167,150794965,152846134,154681870,155925413,157733269,157982313,157632611,157980502,159329636,159851241,..,..
Population density (people per sq. km of land area),EN.POP.DNST,United States,USA,27.25451361,27.62114913,28.00689161,28.37865871,28.72880764,29.07295151,29.41316481,29.76942797,30.11848507,30.46634116,30.79730133,31.10362839,31.39354993,31.66453462,31.95894507,32.2548766,32.56739985,32.87861136,33.24368685,33.53639923,33.81795709,34.07754667,34.33887129,34.59965007,34.85759438,..
Population growth (annual %),SP.POP.GROW,United States,USA,1.12965052,1.336260741,1.386885692,1.31868,1.226296089,1.190787091,1.16341162,1.203960297,1.165714526,1.148340047,1.112768997,0.989741382,0.927797486,0.859481713,0.925483969,0.921713167,0.964253917,0.951055243,0.945865287,0.876651299,0.836054312,0.764677599,0.76392741,0.756558208,0.742746144,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,United States,USA,50.96675348,50.94576726,50.91794365,50.88536516,50.850983,50.81706758,50.78426477,50.75247103,50.72222559,50.69387586,50.66763766,50.64345223,50.62139884,50.60188419,50.58541233,50.57215762,50.56273793,50.55655838,50.55119065,50.54345046,50.53130965,50.51376936,50.49201624,50.46887325,50.44827113,..
"Population, total",SP.POP.TOTL,United States,USA,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,..
Rural population,SP.RUR.TOTL,United States,USA,61656881,61471853,61314541,61112155,60847887,60559606,60247274,59962727,59647910,59318323,59093274,59176653,59224903,59231337,59272576,59316092,59380586,59435929,59486862,59495270,59481252,59414143,59342054,59257833,59157550,..
