Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Uruguay,URY,7.090618215,7.164895441,7.239172666,7.313449891,7.387727117,7.462004342,7.536281568,7.616272426,7.696263284,7.776254142,7.844817735,7.867672266,7.890526797,7.913381328,7.936235859,7.953376757,7.976231288,8.433321906,10.43309336,12.54142384,11.61581534,13.43846418,12.30145126,13.27848246,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Uruguay,URY,1.795907343,1.774292909,1.725026617,1.728822444,1.680615778,1.739422669,1.722915886,1.678533458,1.693640164,1.680502934,1.551100241,1.526561556,1.547539412,1.576655869,1.572646552,1.565433814,..,1.565076674,1.544845554,1.495227017,1.487459011,1.476494726,1.465114164,1.45396418,..,..
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,9298839655,11206193313,12878157306,15002144584,17474578502,19297663097,20515465834,23969746851,25385928196,23983945191,22823255806,20898788420,13606494599,12045627411,13686333822,17362857684,19579457966,23410572634,30366213119,31660911277,40284481652,47962439304,51383858670,57524653094,57471277325,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uruguay,URY,0.297348369,3.538808495,7.931588405,2.657546111,7.28134266,-1.447598978,5.57795777,8.547683221,4.518890092,-1.939212155,-1.929930632,-3.844129957,-7.73200722,0.80528392,5.004160357,7.460132112,4.098577362,6.541510848,7.176144662,4.243494178,7.803409668,5.162133026,3.323114945,5.100361248,3.498414788,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,2989.993095,3577.91238,4082.015012,4720.392764,5458.069924,5984.129623,6316.262161,7327.925485,7711.085939,7247.398162,6871.903886,6281.373272,4088.772541,3622.051177,4117.310036,5220.957396,5877.879608,7009.67816,9062.290535,9415.153583,11938.21554,14166.55767,15127.34622,16879.45316,16806.84557,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uruguay,URY,-0.379967938,2.809519016,7.151399955,1.904836427,6.495632459,-2.156699201,4.822798391,7.785264282,3.848370921,-2.44840365,-2.282024067,-4.013575125,-7.750445457,0.869938502,5.052838678,7.411274964,3.928790329,6.263684658,6.821687609,3.873702616,7.431127805,4.814368445,2.984164933,4.754464424,3.148921995,..
Internet users (per 100 people),IT.NET.USER.P2,Uruguay,URY,0,..,..,..,0.062474386,0.310128582,1.847472089,3.363239668,6.987069365,9.972765285,10.53905775,11.12143768,11.4194702,15.93713672,17.06309834,20.08818956,29.4,34,39.3,41.8,46.4,51.40466106,54.45376868,57.69,61.46,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Uruguay,URY,38.95416413,39.18958817,40.19857126,40.21579853,40.68891802,41.11063122,41.54676528,42.04916396,42.48641959,42.75954804,43.10286884,43.63251478,43.76229295,43.89783523,44.01769543,44.13354934,43.16564789,43.89520392,44.11148417,44.25387649,44.39649124,44.396659,44.47366997,44.4678234,..,..
"Labor force, total",SL.TLF.TOTL.IN,Uruguay,URY,1392054,1409012,1449253,1446071,1487550,1523494,1539251,1551950,1565858,1578099,1585971,1624566,1602544,1579292,1584590,1591891,1632342,1654871,1676543,1701347,1710232,1723677,1737066,1750387,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Uruguay,URY,17.76932351,17.89537196,18.02567135,18.15881614,18.2927894,18.42536282,18.55810193,18.68937264,18.81004457,18.90822763,18.97635699,19.00985602,19.01365558,19.0014684,18.9926637,19.00130271,19.03234487,19.0821049,19.14542338,19.2135813,19.28016227,19.3441321,19.40779911,19.47188321,19.53785853,..
Population growth (annual %),SP.POP.GROW,Uruguay,URY,0.677598813,0.706855756,0.725479852,0.735925219,0.735077984,0.722116927,0.717832612,0.704859897,0.643595814,0.520613914,0.359668349,0.176374714,0.019985349,-0.064117529,-0.046347726,0.045475709,0.163235322,0.261108614,0.331271932,0.355368952,0.345931689,0.33124173,0.32858784,0.329653736,0.338250791,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Uruguay,URY,51.49513487,51.52143262,51.53755183,51.54633693,51.55178467,51.55703892,51.56240427,51.56767901,51.57469289,51.58549284,51.60132866,51.62319795,51.65038449,51.68017435,51.70858483,51.7325253,51.75099916,51.76447339,51.77314172,51.77766127,51.77861993,51.77592812,51.76938094,51.75930297,51.74615355,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3109987,3132048,3154853,3178156,3201604,3224807,3248039,3271014,3292134,3309318,3321242,3327105,3327770,3325637,3324096,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516,..
Rural population,SP.RUR.TOTL,Uruguay,URY,342938,335004,327253,319722,312316,305002,297683,289583,281477,273250,264769,256087,247287,238515,230094,222184,214752,207766,201117,194737,188495,182417,176529,170978,165778,..
Surface area (sq. km),AG.SRF.TOTL.K2,Uruguay,URY,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Uruguay,URY,..,10.30000019,12.10000038,10.80000019,12.60000038,14.30000019,13.89999962,10.10000038,10.19999981,15.19999981,14,12.89999962,11.60000038,10.5,9,12.30000019,14.39999962,12.5,10.39999962,9.899999619,9.600000381,8.100000381,8.399999619,8.399999619,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Uruguay,URY,..,7.599999905,8.600000381,7.900000095,9,10.39999962,11.30000019,7.699999809,7.699999809,11.19999981,10.30000019,9.5,8.600000381,7.800000191,6.900000095,9,10.60000038,9.199999809,7.599999905,7.300000191,7.199999809,6.300000191,6.5,6.599999905,..,..
