Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Uzbekistan,UZB,..,..,10.51716032,10.5077574,10.50305595,10.51951105,10.51951105,10.51951105,10.51951105,10.51951105,10.51951105,10.54301834,10.54066761,10.57827927,10.57827927,10.34320639,10.34320639,10.22566996,10.1551481,10.10813352,10.22566996,10.10813352,10.34320639,10.34320639,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Uzbekistan,UZB,..,..,0.532931361,0.533346654,0.254492913,0.519212416,0.556022937,1.007298699,1.13699079,1.043040975,0.852460437,0.755290971,0.733653512,0.714029712,0.724486624,0.856010639,0.796144902,0.774379951,0.753161265,0.732980694,0.706193594,0.533271892,0.521719529,0.511150216,..,..
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13360633788,13800167712,12953801760,13099928447,12899074358,13350461530,13948892216,14744603774,14988971211,17078465982,13760374488,11401351420,9687951055,10128112401,12030023548,14307509839,17030896203,22311393928,27934030937,32816828373,39332770929,45324319955,51183443225,56795656325,62643953022,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uzbekistan,UZB,1.600000006,-0.492000004,-11.2,-2.300000006,-5.199999992,-0.900000006,1.700000004,5.199999997,4.3,4.300000003,3.799999993,4.200000008,3.999999997,4.199999999,7.699999998,7.000000005,7.299999997,9.500000002,9.419230769,8.099999996,8.500000001,8.299999999,8.200000001,8.000000001,8.100000002,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,651.4204675,658.6563436,603.9349974,597.0252688,576.4434177,585.9320399,600.5981578,623.0026524,623.2161328,702.4807441,558.221144,456.7034892,383.3494997,396.129969,465.1198869,546.7768502,642.9604146,830.4076942,1023.119641,1181.84736,1377.08214,1544.827773,1719.036196,1877.964512,2037.698724,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uzbekistan,UZB,-0.667502949,-2.591204662,-13.25760641,-4.495155415,-7.042874372,-2.674535885,-0.226716896,3.235306542,2.63473868,3.181779109,2.373562694,2.889175616,2.734971912,2.994478177,6.464531486,5.762427872,5.998663556,7.952336425,7.676717857,6.291286901,5.480033191,5.431873862,6.61885439,6.326248546,6.34430902,..
Internet users (per 100 people),IT.NET.USER.P2,Uzbekistan,UZB,0,..,..,..,..,0.001527093,0.004285074,0.010536935,0.020754437,0.030688343,0.484347308,0.597567994,1.081939742,1.912595178,2.593725421,3.343509888,6.388321967,7.490604681,9.080114523,17.05821621,20,30.2,36.5213,38.2,43.55,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Uzbekistan,UZB,39.98192884,40.06418518,40.32323886,40.36000639,40.48926263,40.62736299,40.65917728,40.71368987,40.77218275,40.81656793,40.86340771,40.97760877,40.94529421,40.98308404,41.0143373,40.96667494,40.83599241,40.69755612,40.55512833,40.41489572,40.36505988,40.2534955,40.2288492,40.27092465,..,..
"Labor force, total",SL.TLF.TOTL.IN,Uzbekistan,UZB,7199315,7359955,7505657,7687308,7858765,8031395,8273040,8537686,8795146,9012110,9279023,9532750,9813897,10083614,10352158,10630709,10927659,11234795,11551311,11869344,12319568,12751469,13033823,13303330,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Uzbekistan,UZB,48.21344617,49.25246827,50.42078044,51.5796897,52.6022567,53.56135402,54.59567466,55.63469676,56.53737659,57.15009403,57.94640339,58.68464974,59.40726375,60.10260931,60.80007052,61.51151857,62.26669017,63.15937941,64.18147626,65.27362482,67.14245416,68.96897038,69.99177245,71.093559,72.26727786,..
Population growth (annual %),SP.POP.GROW,Uzbekistan,UZB,2.257075635,2.132153512,2.344391704,2.272458415,1.963103725,1.806877907,1.912685998,1.885238808,1.609490295,1.07790836,1.383746821,1.265968533,1.223831519,1.163675244,1.153769215,1.163350224,1.220216354,1.423474897,1.605327363,1.687340969,2.822849683,2.684015505,1.472099988,1.561904333,1.637469625,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Uzbekistan,UZB,50.56955685,50.5309865,50.48474302,50.43826492,50.40112874,50.37961506,50.3746106,50.3834118,50.40398749,50.43321959,50.46849645,50.50985449,50.55674906,50.60533739,50.65079196,50.68965686,50.72020684,50.74310273,50.76021458,50.77447017,50.78785097,50.80100979,50.81303103,50.82253481,50.82761866,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30742500,..
Rural population,SP.RUR.TOTL,Uzbekistan,UZB,12270723,12607237,12980077,13353682,13694724,14026446,14380920,14713064,14984254,15179222,15424002,15658202,15889170,16113756,16339544,16569991,16813152,17087511,17390518,17705883,18225382,18726459,19001490,19290020,19589736,..
Surface area (sq. km),AG.SRF.TOTL.K2,Uzbekistan,UZB,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Uzbekistan,UZB,..,11.10000038,10.89999962,11,11,11,11.30000019,11.30000019,11.30000019,11.30000019,11.19999981,11.19999981,11.19999981,11.19999981,11.30000019,11.19999981,11.30000019,11.30000019,11.30000019,11.19999981,11.19999981,11.19999981,11.10000038,10.89999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Uzbekistan,UZB,..,10.80000019,10.69999981,10.80000019,10.80000019,10.80000019,11,11.10000038,11.10000038,11,11,11,11,11,11,11,11,11.10000038,11.10000038,11,11,11,10.89999962,10.69999981,..,..
