Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Vanuatu,VUT,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,158397406.3,188869985.1,196142588,188080372.4,219260343.3,233902114.7,245177629.3,255890215.7,262301249,267999225.3,272014693.1,257926881.7,262603781.8,314463144,364996869.1,394962431.8,439376661.7,526428309.9,607958816.1,610075806.7,700804045.2,792149995.8,781702874.1,801787555.9,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vanuatu,VUT,11.70648473,3.139321561,2.59201652,0.750740107,9.056387228,1.011760278,2.328455171,4.913239831,4.301466021,0.334788215,5.922044539,-3.488507759,-5.111218569,4.293431178,3.984754831,5.30285231,8.462928669,5.175676788,6.450477234,3.307242862,1.632696617,1.20747585,1.770584777,1.96914608,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,1080.230278,1252.62792,1263.463418,1176.87044,1335.251681,1390.321422,1427.094151,1462.196383,1472.990156,1477.833673,1469.888862,1362.616128,1353.927839,1580.510668,1787.938265,1886.387734,2047.087669,2393.334621,2698.022128,2643.515554,2965.75121,3275.025202,3158.420974,3167.055303,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Vanuatu,VUT,8.826081146,0.303279227,-0.357366828,-2.131562968,6.13752881,-1.406119121,0.204479483,2.99367117,2.503306264,-1.475538051,3.797399134,-5.645240421,-7.39541414,1.66936079,1.345710751,2.671978421,5.804857968,2.631350758,3.909384563,0.868948056,-0.74017668,-1.126092146,-0.541168157,-0.313393571,..,..
Internet users (per 100 people),IT.NET.USER.P2,Vanuatu,VUT,0,..,..,..,..,..,0.056845636,0.139505815,0.274185942,0.538300048,2.108336891,2.830572239,3.510038711,3.903295845,4.746602619,5.082333808,5.850585059,6.8,7.269119923,7.5,8,9.2,10.598,11.3,18.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Vanuatu,VUT,46.21111871,46.08895379,46.01417734,45.87303085,45.67381115,45.54021477,45.37912137,45.23112712,45.0903436,44.88720065,44.74438462,44.53943578,44.39331362,44.24681253,44.0420766,43.83408433,43.65798414,43.53040142,43.41533279,43.23161849,43.4256339,43.53617895,43.54002688,43.58605502,..,..
"Labor force, total",SL.TLF.TOTL.IN,Vanuatu,VUT,68767,70531,72369,74207,75956,77571,78827,79956,81024,82137,83387,85037,86923,88942,91072,92987,95364,97479,99147,100903,103683,106222,109389,112614,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Vanuatu,VUT,12.02895816,12.36907301,12.73519278,13.11025431,13.47079573,13.80114848,14.09368335,14.35635767,14.60820345,14.87662018,15.18113208,15.52813782,15.91115669,16.32182116,16.74684167,17.1759639,17.60746514,18.04397047,18.4852338,18.93207547,19.38465956,19.84216571,20.30336341,20.76825267,21.23732568,..
