Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Venezuela, RB",VEN,3.210702341,3.224307012,2.948812426,2.94654498,2.93294031,2.926137974,2.929539142,2.939742645,2.939742645,2.939742645,2.94201009,2.945411258,2.834306445,2.947678703,3.004364832,3.010033445,3.010033445,3.014568335,3.061050961,2.947678703,3.061050961,3.061050961,3.061050961,3.061050961,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Venezuela, RB",VEN,1.029144833,0.955950708,0.966645448,0.965887183,0.920525058,0.918545772,0.860329155,0.821103653,0.787973333,0.760863054,0.746852113,0.941523858,0.897674409,0.886561098,0.681331355,0.674017956,..,0.924228456,0.900193369,0.882780695,0.868954157,0.852128446,0.834909012,0.818494502,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,47027508385,51734363024,58470358476,58107555298,56529904239,74888742184,68258588863,85837385779,91338542542,97974136437,1.17E+11,1.23E+11,92889586976,83622191419,1.12E+11,1.46E+11,1.83E+11,2.30E+11,3.16E+11,3.29E+11,3.94E+11,3.16E+11,3.81E+11,3.71E+11,5.10E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Venezuela, RB",VEN,6.467940756,9.729887941,6.060473269,0.275388067,-2.349507884,3.951662762,-0.197837378,6.37093152,0.294055161,-5.970458146,3.686944167,3.394236108,-8.855647353,-7.75530005,18.28660669,10.3179138,9.872149109,8.753463385,5.277965858,-3.202302657,-1.488791251,4.176425359,5.625956975,1.343094036,-3.999244142,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,2367.717524,2544.448876,2811.146422,2732.673612,2601.850407,3375.089125,3013.729081,3714.617216,3875.904843,4078.287002,4785.153059,4928.17304,3657.193748,3233.956106,4273.365372,5435.87226,6740.236779,8325.216583,11224.6467,11534.8406,13581.35338,10754.59288,12771.59504,12265.03114,16614.54875,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Venezuela, RB",VEN,3.928737844,7.191818758,3.6780089,-1.915179899,-4.429611637,1.787881668,-2.227178963,4.259021371,-1.654014786,-7.761627322,1.746649869,1.492421026,-10.50247324,-9.390640134,16.23265415,8.444334727,8.047300246,6.987073297,3.607785968,-4.700065881,-2.973939943,2.647510591,4.116597646,-0.06882177,-5.305936454,..
Internet users (per 100 people),IT.NET.USER.P2,"Venezuela, RB",VEN,0,..,0.012082134,0.041587233,0.055486978,0.122214848,0.24826058,0.390959318,1.383990391,2.839825767,3.359597465,4.636000948,4.910446327,7.499963465,8.404469592,12.55299791,15.22471148,20.83,25.88,32.7,37.37,40.22,49.05008307,54.9,57,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Venezuela, RB",VEN,31.5490935,32.25990545,31.97904158,31.3197934,31.54212249,33.49659719,34.80746923,35.91476196,36.61484661,37.06566518,37.44875318,39.04410024,39.82566191,39.64138814,39.31727275,39.11798832,38.91062216,38.90621661,39.13827072,39.53229358,39.34925912,39.528401,39.64668538,39.76444155,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Venezuela, RB",VEN,7287604,7636377,7758791,7764882,8147524,8709419,9182532,9621197,10025720,10382946,10577730,11183997,11730311,11877354,12035260,12165848,12279688,12442811,12775033,13027018,13234300,13495618,13773956,14050186,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Venezuela, RB",VEN,22.51795136,23.05112749,23.58082988,24.1074701,24.63217278,25.15579729,25.67792302,26.19806474,26.7170047,27.23581996,27.75520322,28.27529392,28.79558188,29.31529165,29.83332351,30.34875007,30.86132079,31.37085086,31.87655575,32.37753755,32.87313077,33.36276968,33.84642367,34.32463579,34.79828468,..
Population growth (annual %),SP.POP.GROW,"Venezuela, RB",VEN,2.413846283,2.340185361,2.271940584,2.208766611,2.153166998,2.103495352,2.054321773,2.005394671,1.961470004,1.923277439,1.889030862,1.856509088,1.823355163,1.788731067,1.751672806,1.712932557,1.67483125,1.637549983,1.599166499,1.559408686,1.519073331,1.478496783,1.43927434,1.402999946,1.370475368,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Venezuela, RB",VEN,49.61387243,49.62529228,49.63667586,49.64888064,49.66292794,49.67947832,49.69862528,49.72011645,49.74375506,49.76923914,49.79625617,49.82477903,49.85461124,49.88508387,49.9153907,49.94498697,49.97361618,50.00138233,50.02854885,50.05552617,50.08257591,50.10972851,50.136798,50.16354018,50.18963585,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861959,20332247,20799471,21263994,21726808,22188671,22649212,23108003,23565734,24023355,24481477,24940223,25399143,25857553,26314483,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827,..
Rural population,SP.RUR.TOTL,"Venezuela, RB",VEN,3121505,3110630,3099329,3086043,3070433,3053161,3033862,3013284,2990963,2967605,2942674,2917258,2936649,2978790,3020376,3061584,3101859,3141727,3180844,3219126,3256512,3292952,3328449,3362458,3394430,..
Surface area (sq. km),AG.SRF.TOTL.K2,"Venezuela, RB",VEN,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Venezuela, RB",VEN,..,10.89999962,8.899999619,7.699999809,8.600000381,12.10000038,16.10000038,13.5,12.69999981,16,14.30000019,14.60000038,18.79999924,20.29999924,18.10000038,13.69999981,11.10000038,8.199999809,7.400000095,8.399999619,9.199999809,9.300000191,9.100000381,8.199999809,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Venezuela, RB",VEN,..,9.5,7.699999809,6.699999809,8.600000381,10.19999981,12.39999962,10.60000038,11,14.5,13.19999981,12.80000019,16.20000076,16.79999924,15,11.39999962,9.300000191,7.5,6.900000095,7.800000191,8.600000381,8.300000191,8.100000381,7.5,..,..
