Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Vietnam,VNM,16.40296169,16.49205813,16.91603429,16.9467572,16.78699806,16.59958831,17.06350426,17.41374543,17.70561308,18.43374604,19.93184595,21.37323604,21.25261633,21.22423969,20.86464347,20.50504725,20.47279647,20.34895346,20.26155384,20.31799271,20.76176347,20.64469313,20.71403232,20.67113878,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Vietnam,VNM,3.206786709,3.107736189,2.507550375,2.455652126,1.965102916,1.708098162,1.6710706,1.460382829,1.336948435,1.299605624,1.269474994,1.235845442,1.209219254,1.1832594,..,1.069719128,1.050311624,1.030504881,1.010067248,0.990545275,1.025725409,1.008513535,0.991762142,0.976729184,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,6471740486,9613369554,9866990096,13180954014,16286434094,20736163915,24657470332,26843701137,27209601996,28683658005,33640085728,35291349277,37947904054,42717072778,49424107710,57633255739,66371664817,77414425532,99130304099,1.06E+11,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,5.10091814,5.960843932,8.64604746,8.072730657,8.838980952,9.540480175,9.340017496,8.152084143,5.764455464,4.773586881,6.787316408,6.192893312,6.320820988,6.899063492,7.536410612,7.547247727,6.977954812,7.129504484,5.661771208,5.397897543,6.423238217,6.240302749,5.247367156,5.421882991,5.983654637,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,98.031869,142.9658899,144.1486586,189.2605161,229.9548051,288.0202779,337.0500628,361.2544883,360.600798,374.4764201,433.3337077,448.8822798,477.1058763,530.8618494,606.9043783,699.499779,796.6715738,919.2092656,1164.612525,1232.369671,1333.583526,1543.02695,1755.265424,1908.64034,2052.294202,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Vietnam,VNM,3.122495848,4.02938095,6.729149873,6.219288253,7.025625439,7.758814622,7.604487759,6.477992946,4.153381702,3.213678967,5.364694197,4.856238276,5.09476772,5.663978733,6.256850343,6.299762778,5.797760093,5.975380397,4.544311397,4.287498071,5.312271793,5.142703993,4.141339654,4.321937696,4.790885875,..
Internet users (per 100 people),IT.NET.USER.P2,Vietnam,VNM,0,..,..,..,..,..,0.000134813,0.003981962,0.013078543,0.128926663,0.254248276,1.265651236,1.854999236,3.780280814,7.642408528,12.73992929,17.25456172,20.75544477,23.92,26.55,30.65,35.07,39.49,43.9,48.31,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Vietnam,VNM,48.48270887,48.46242361,48.4457445,48.43094718,48.47656239,48.45388419,48.50054056,48.47540228,48.51728719,48.43208534,48.47447384,48.4530116,48.50007428,48.48575653,48.46671277,48.50373847,48.46951349,48.49919871,48.46493244,48.43763395,48.42015395,48.41968151,48.42509692,48.36721941,..,..
"Labor force, total",SL.TLF.TOTL.IN,Vietnam,VNM,32743057,33464874,34176781,34899080,35621544,36414769,37221647,38140684,39193733,40319924,41276906,42400124,43333746,44284457,45286655,46273829,47128870,48034707,49006638,49972476,50890813,51759345,52633588,53443678,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Vietnam,VNM,202.8225137,206.5882208,210.2986267,213.9681711,217.5934745,221.1911272,224.7586715,228.2924207,231.8237119,235.3273526,249.5688935,252.7258993,256.1188214,259.5136582,262.638759,265.7209662,268.6851356,271.6112491,274.5144645,277.4373529,280.3641113,283.2908698,286.2995453,289.3182185,292.6113458,..
Population growth (annual %),SP.POP.GROW,Vietnam,VNM,1.900345205,1.839626062,1.780101171,1.729871819,1.680125519,1.639863103,1.600009883,1.560009828,1.534986657,1.500031414,1.341154893,1.266693587,1.159864341,1.162101037,1.197021404,1.166721103,1.109343538,1.083161816,1.063214084,1.059119876,1.049400377,1.038502231,1.056444548,1.048856052,1.131807942,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Vietnam,VNM,50.7636344,50.75358307,50.74385202,50.73525972,50.72880066,50.72505842,50.72378606,50.72447249,50.72699465,50.73117145,50.73659383,50.74372669,50.75183824,50.75798798,50.75841614,50.75073972,50.73402794,50.70973465,50.68084476,50.65150586,50.62475374,50.60150812,50.58123797,50.56370544,50.54822625,..
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,67242400,68450100,69644500,70824500,71995500,73156700,74306900,75456300,76596700,77630900,78620500,79537700,80467400,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900,89708900,90730000,..
Rural population,SP.RUR.TOTL,Vietnam,VNM,52645017,53373655,54075579,54742666,55384759,56021858,56638649,57235633,57817635,58353664,58709144,59014906,59246837,59471846,59706725,59914711,60077373,60212859,60325325,60425680,60511975,60584126,60660298,60724851,60833558,..
Surface area (sq. km),AG.SRF.TOTL.K2,Vietnam,VNM,331030,331060,331090,331110,331110,331110,331110,331110,331110,331110,329240,329250,329300,329310,329314,331212,331212,331212,331051,331051,330957,330951,330972,330972,330972,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Vietnam,VNM,..,2.599999905,2.900000095,3.299999952,2.5,2,1.700000048,2.599999905,2.099999905,2.400000095,2.200000048,3.299999952,2.299999952,2.700000048,2.400000095,2.299999952,2.5,2.5,2.599999905,2.700000048,2.799999952,2.099999905,2,2.200000048,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Vietnam,VNM,..,2.5,2.700000048,3,2.400000095,2.099999905,1.899999976,2.900000095,2.299999952,2.299999952,2.299999952,2.799999952,2.099999905,2.299999952,2.099999905,2.099999905,2.299999952,2.299999952,2.400000095,2.599999905,2.599999905,2,1.799999952,2,..,..
