Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Virgin Islands (U.S.),VIR,11.42857143,11.42857143,11.42857143,11.42857143,8.571428571,8.571428571,8.571428571,8.571428571,8.571428571,5.714285714,5.714285714,5.714285714,5.714285714,5.714285714,5.714285714,5.714285714,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,1564700032,1671200000,1770899968,1996000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,15050.54714,15945.49982,16752.27713,18728.24343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Virgin Islands (U.S.),VIR,0,..,..,..,0.940645283,2.801957634,4.647185664,6.948368986,9.245220221,11.07460593,13.81508054,18.37576604,27.49443238,27.42907299,27.37700879,27.34431967,27.33261054,27.33933584,27.36177742,27.39650968,31.22,35.6,40.5479,45.3,50.07,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Virgin Islands (U.S.),VIR,41.57763793,41.71909037,41.94710817,42.042167,42.2029362,42.33137228,42.62796028,42.86941078,43.07221921,43.32994378,43.62145476,43.8480752,44.16657237,44.34545489,44.59840475,44.85730068,45.08885091,45.32437493,45.46891368,45.68454852,45.7560198,45.79623207,45.85008725,45.8426794,..,..
"Labor force, total",SL.TLF.TOTL.IN,Virgin Islands (U.S.),VIR,47831,49119,49951,50466,50814,51163,51051,51237,51676,52121,51830,52447,53022,53541,53910,54310,54417,54474,54413,54189,53947,53345,52724,52161,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Virgin Islands (U.S.),VIR,297.0371429,299.4485714,302.0314286,304.5057143,306.62,308.0485714,308.8371429,309.5857143,310.1,310.2742857,310.3971429,309.6742857,309.1657143,308.8142857,308.4285714,308.18,307.7142857,306.9228571,305.9742857,304.8771429,303.62,302.24,300.7857143,299.2485714,297.6285714,..
Population growth (annual %),SP.POP.GROW,Virgin Islands (U.S.),VIR,0.930607838,0.808549694,0.858839203,0.815877302,0.691934278,0.46482741,0.255662221,0.242090597,0.165982794,0.05618728,0.039588465,-0.233152968,-0.164362854,-0.113734622,-0.124979765,-0.080625361,-0.151231919,-0.257527231,-0.309537154,-0.359217965,-0.413196565,-0.455551575,-0.482330521,-0.512352796,-0.542826609,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Virgin Islands (U.S.),VIR,51.56654044,51.64120332,51.73851373,51.84390225,51.94322343,52.02676185,52.09082713,52.13884928,52.17001783,52.18802741,52.19562994,52.19106249,52.17539685,52.15427252,52.13555745,52.12586296,52.12743192,52.13873803,52.1593876,52.1840698,52.21090034,52.2401265,52.27080076,52.30299719,52.33409913,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,104807,105711,106577,107317,107817,108093,108355,108535,108596,108639,108386,108208,108085,107950,107863,107700,107423,107091,106707,106267,105784,105275,104737,104170,..
Rural population,SP.RUR.TOTL,Virgin Islands (U.S.),VIR,12803,12278,11776,11288,10803,10311,9818,9347,8888,8440,8054,7789,7536,7295,7059,6834,6612,6388,6170,5955,5745,5543,5352,5170,4997,..
Surface area (sq. km),AG.SRF.TOTL.K2,Virgin Islands (U.S.),VIR,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
