Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,West Bank and Gaza,WBG,18.10631229,17.60797342,17.27574751,17.27574751,17.27574751,18.43853821,17.77408638,17.44186047,13.95348837,16.44518272,16.94352159,16.94352159,16.94352159,16.77740864,16.94352159,16.44518272,15.61461794,14.45182724,13.78737542,10.52325581,7.259136213,7.392026578,7.475083056,7.641196013,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,West Bank and Gaza,WBG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.579510418,7.233030149,6.851921413,6.456894464,6.428461554,6.271586577,6.019479466,5.76399725,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,WBG,..,..,..,..,2842261253,3281382693,3407783961,3760126837,4067692859,4271509592,4316456404,4007793547,3557451048,3959278956,4327268309,4834276366,4914728153,5508346518,6673500000,7268200000,8913100000,10465400000,11279400010,12475999993,12737613125,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,West Bank and Gaza,WBG,..,..,..,..,..,7.118512026,7.267884828,24.0131436,25.93332577,17.96867826,-9.881456269,-6.421027093,-1.472391719,9.205070943,8.884791331,11.04608056,-4.542687871,-1.774139133,-8.632433455,20.94078783,2.337462352,7.892979819,14.47524769,-4.28112541,-1.499056955,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,WBG,..,..,..,..,1201.142566,1325.990131,1316.765035,1389.285731,1465.007469,1499.600865,1477.14935,1336.91872,1156.754334,1254.934345,1336.968902,1455.93368,1442.820391,1576.292123,1855.45702,1963.201519,2338.719877,2664.951385,2787.169741,2992.200993,2965.903675,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,West Bank and Gaza,WBG,..,..,..,..,..,2.427689543,2.570515915,18.58248997,22.75615543,14.9924492,-12.15502623,-8.781928112,-3.958158031,6.449960884,6.137731459,8.244508047,-6.950969176,-4.252261399,-11.22844244,17.49342699,-0.586340855,4.707362134,11.08503419,-7.095754438,-4.370038798,..
Internet users (per 100 people),IT.NET.USER.P2,West Bank and Gaza,WBG,0,..,..,..,..,..,..,..,..,..,1.111306207,1.836854839,3.100092235,4.130616356,4.400904826,16.005,18.41,21.176,24.358,32.23,37.4,41.08,43.4,46.6,53.67,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,West Bank and Gaza,WBG,12.74697532,12.6799646,12.90344209,13.06219724,13.0934469,13.09063733,13.08860041,13.24849102,13.57332418,14.1798396,13.89846691,13.35631881,13.59797866,15.22988766,16.73120407,17.21171467,17.52317799,17.93722906,18.41068155,18.71749896,17.89619628,18.0942328,18.36790359,18.51870119,..,..
"Labor force, total",SL.TLF.TOTL.IN,West Bank and Gaza,WBG,396902,416957,432528,451065,470556,492413,514738,537782,550521,558342,582352,614301,623350,663150,707600,738834,774226,817289,867290,871126,892916,930313,971548,1013786,..,..
Population density (people per sq. km of land area),EN.POP.DNST,West Bank and Gaza,WBG,328.6126246,343.6619601,359.4004983,375.8598007,393.0727575,411.0740864,429.8998339,449.5877076,461.2239203,473.1612957,485.4074751,497.9707641,510.8593023,524.0812292,537.645515,551.5607973,565.8362126,580.4810631,597.4564784,614.9863787,633.0734219,652.3340532,672.242691,692.6089701,713.4023256,..
Population growth (annual %),SP.POP.GROW,West Bank and Gaza,WBG,..,4.477887603,4.477886073,4.477884235,4.477852498,4.477872882,4.477878002,4.477872045,2.555269478,2.55526837,2.555235698,2.55526757,2.555284566,2.555247556,2.555275892,2.555262373,2.555258675,2.55525196,2.882426272,2.89186775,2.898628666,2.997037636,3.006264051,2.984616054,2.957994955,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,West Bank and Gaza,WBG,49.39214413,49.38052217,49.36877425,49.35727519,49.34652162,49.33673812,49.32802164,49.3203354,49.31367138,49.30790962,49.30291481,49.29854519,49.29476025,49.29171823,49.28969723,49.28885961,49.28925416,49.29068768,49.29271452,49.2948211,49.29666878,49.29814512,49.2993667,49.300518,49.30182545,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,1978248,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,..
