Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Yemen, Rep.",YEM,2.884633597,2.894103832,2.60999678,3.072144251,3.081614486,3.092978768,3.119495426,3.043733545,2.962289524,2.930090725,2.926302631,2.776672917,2.680076519,2.371346857,2.509612289,2.437638502,2.602420592,2.585374169,2.358088528,2.217929049,2.44521469,2.198988579,2.373240904,2.363770669,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Yemen, Rep.",YEM,5.028414501,4.707628471,2.220328775,2.072564364,2.090202223,1.985080194,3.067955208,3.846537104,3.448574244,3.318719281,3.19215185,2.792080309,2.945830388,2.833868942,2.699294254,2.624187286,2.516545374,2.405000309,2.302737955,2.20141986,2.114617805,2.033056406,1.952800569,1.877931459,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,5647251908,5930370370,6463649985,5368270615,4167356037,4258788725,5785685311,6839039030,6325219773,7641101221,9636342275,9854042165,10693278292,11777768087,13873500888,16753772448,19081726103,25633674564,30397203369,28459501430,30906753495,31078858746,32074766835,35954502304,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Yemen, Rep.",YEM,..,6.293493885,8.207598132,4.001966352,6.721949141,5.669371293,4.634967351,5.231112029,6.006694589,3.775530485,6.18191561,3.803645878,3.935231493,3.747398199,3.972696389,5.591748066,3.170409373,3.338427946,4.014388868,4.134837953,3.317465196,-15.08839309,2.469878516,4.155705526,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,472.1348689,471.7410829,488.0066834,384.8741898,284.7898668,278.9694561,365.3790813,418.2947354,375.8315034,441.5692834,541.5129915,538.2873198,567.8219633,607.9158043,696.0549607,817.0824167,904.6056001,1181.215176,1361.717209,1239.837119,1310.053839,1282.398832,1289.034078,1408.146193,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Yemen, Rep.",YEM,..,1.134574109,2.703161785,-1.240700979,1.726309213,1.287477845,0.877695925,1.916055136,2.982525438,0.930006946,3.253389378,0.905694934,1.033261305,0.845455572,1.063966236,2.642155851,0.286740407,0.447327865,1.118022258,1.269833408,0.524553262,-17.34115073,-0.19804218,1.50247641,..,..
Internet users (per 100 people),IT.NET.USER.P2,"Yemen, Rep.",YEM,0,..,..,..,..,..,0.000621081,0.015025295,0.023323243,0.056628675,0.082500387,0.090802459,0.518796032,0.6047341,0.881222989,1.048597934,1.247824049,5.01,6.89,9.96,12.35,14.905,17.4465,20,22.55,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Yemen, Rep.",YEM,19.17857088,18.78647717,18.76611473,18.58808496,18.43500804,19.15288202,20.12575877,21.12166915,22.17906374,23.34530312,23.54285762,23.88586426,24.11994126,24.39851287,24.62006441,24.78476435,25.04672021,25.1465961,25.40133552,25.49727904,25.75058581,25.84768058,25.89155825,25.93601742,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Yemen, Rep.",YEM,2525647,2697749,2882456,3087962,3301116,3501118,3650640,3803421,3952358,4107006,4269847,4441133,4633668,4823794,5038354,5258771,5483708,5738045,5992866,6264139,6521273,6782891,7061653,7343186,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Yemen, Rep.",YEM,22.6548838,23.81051954,25.08665833,26.4183912,27.71576226,28.91480008,29.99175521,30.96730685,31.87668807,32.77538875,33.70498134,34.67296816,35.66887702,36.69528951,37.75141959,38.83626911,39.95297649,41.10291304,42.2802413,43.47638313,44.68430403,45.90211565,47.12917779,48.36111332,49.59311325,..
