Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Zambia,ZMB,3.888941202,3.705995507,3.738280041,3.73962523,3.833788456,3.56340548,3.867418179,3.77729052,3.625284171,3.894321958,3.788052032,3.661604272,3.473277822,3.86607299,3.849930723,3.668330217,4.053054251,3.96696216,4.10551662,4.775420708,4.573642368,4.842680154,5.111717941,4.977199048,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Zambia,ZMB,0.469087844,0.457655169,0.445141709,0.433493202,0.420333419,0.586469287,0.570870041,0.554759195,0.538294757,0.52218515,0.507142887,0.495450472,0.483265259,0.399494056,0.319855425,0.31152745,0.303527444,0.295456052,0.287011681,0.287663173,0.279367775,0.270661566,0.262274486,0.253960671,..,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3288381863,3376791460,3182810841,3273507730,3656808242,3806982664,3597220962,4303290117,3537741619,3404284648,3600631915,4094441301,4193850445,4901869712,6221109712,8331863990,12756858899,14056957976,17910858638,15328342304,20265552104,23731726500,24939314029,26820806279,27066230009,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zambia,ZMB,-0.481072127,-0.036133391,-1.730922033,6.797273924,-8.625441835,2.897668709,6.218546514,3.814007573,-0.385746225,4.650189789,3.89732287,5.316868319,4.506014409,6.944973873,7.032395131,7.23559899,7.903694512,8.352436224,7.773895812,9.220348444,10.29820581,6.338446147,6.730573989,6.713450204,6.000000073,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,403.8222425,403.85571,371.0872875,372.2407349,405.4907279,411.4088244,378.5613534,440.7418914,352.5609292,330.2145971,340.1565499,376.9774036,376.4684675,429.0099018,530.5563163,691.8089456,1030.31536,1103.486577,1365.721205,1134.772998,1456.126526,1654.525289,1686.618024,1759.192902,1721.623274,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Zambia,ZMB,-3.195570676,-2.645273471,-4.201183773,4.161073033,-10.89675829,0.281194401,3.437213091,1.034687275,-3.072758685,1.859689952,1.189177895,2.640437569,1.891107408,4.267812931,4.297361205,4.404532897,4.958770704,5.314450598,4.684774098,6.040487133,7.052131435,3.179569487,3.532572067,3.497191031,2.795614669,..
Internet users (per 100 people),IT.NET.USER.P2,Zambia,ZMB,0,..,..,..,0.006776105,0.008783623,0.009069176,0.009329658,0.030226183,0.147053172,0.191071643,0.233129556,0.477750907,0.980483039,2.013549532,2.851752261,4.159913394,4.87,5.55,6.31,10,11.5,13.4682,15.4,17.34,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Zambia,ZMB,47.06801041,47.20821766,47.34719189,47.34341819,47.60399443,47.72789049,47.63945238,47.61640476,47.65787951,47.5684108,47.47163914,47.3640527,47.1943405,47.02370782,46.85002379,46.6211538,46.58977431,46.62440537,46.5392849,46.51400179,46.55321965,46.47790565,46.52518892,46.51021868,..,..
"Labor force, total",SL.TLF.TOTL.IN,Zambia,ZMB,3410875,3496082,3594361,3690946,3806502,3921774,4028938,4145943,4272752,4404568,4535211,4642240,4759291,4881174,5002260,5135984,5271352,5415357,5574686,5735875,5906193,6096174,6291119,6497069,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Zambia,ZMB,10.95406449,11.24763718,11.53766798,11.82967352,12.13122184,12.4477421,12.78245067,13.13407767,13.49817996,13.86796971,14.23912078,14.61041714,14.98537511,15.37013681,15.77319442,16.20090531,16.65546887,17.13592596,17.64158652,18.17060897,18.7215849,19.29475242,19.8907451,20.50886614,21.1481766,..
Population growth (annual %),SP.POP.GROW,Zambia,ZMB,2.765510524,2.644750422,2.545908148,2.499392096,2.517136605,2.575680281,2.653393934,2.71370131,2.734465703,2.702698486,2.641131803,2.574161583,2.533995531,2.535172579,2.588548523,2.675518058,2.767149875,2.843857012,2.908179206,2.954641174,2.987173419,3.015603249,3.042138971,3.060273408,3.069640155,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Zambia,ZMB,50.39829835,50.40483145,50.40968349,50.41215884,50.41143888,50.40701778,50.39909092,50.38795577,50.3734748,50.35548451,50.33410737,50.30940303,50.28211007,50.25383323,50.22652505,50.20156364,50.17953789,50.16027568,50.14341673,50.12836611,50.1147589,50.1024016,50.09160671,50.08305082,50.07755381,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,8143142,8361381,8576987,8794061,9018229,9253527,9502346,9763742,10034412,10309310,10585220,10861238,11139978,11426006,11725635,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343,..
