Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Zimbabwe,ZWE,7.522295463,7.625694714,7.729093964,7.832493214,8.013441903,8.039291715,8.78893628,9.047434406,8.78893628,9.176683469,9.305932532,9.305932532,9.435181595,9.435181595,9.822928784,10.08142691,10.59842316,10.33992504,10.98617035,10.59842316,10.33992504,10.85692129,10.33992504,10.33992504,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Zimbabwe,ZWE,1.087798646,1.053064629,1.089293718,1.058992501,0.922691538,1.417063831,1.326312881,1.218503293,1.211659352,1.210089921,1.152117977,1.072609677,0.970851445,0.816236421,0.772726226,0.78069115,0.771278321,0.760489726,0.749260656,0.733947181,0.721346532,0.70587771,0.690140688,0.674366928,..,..
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,8783816700,8641481700,6751472200,6563813300,6890675000,7111270700,8553146600,8529571600,6401968200,6858013100,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,8157077422,9456808151,10956226611,12472416688,13490227136,13663314280,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zimbabwe,ZWE,6.988552933,5.531782072,-9.015569821,1.051458509,9.235198742,0.158025752,10.36069674,2.680594174,2.885211917,-0.817820899,-3.059189626,1.439615074,-8.894023417,-16.99507453,-5.807538303,-5.711083833,-3.46149505,-3.653327043,-17.6689466,5.984390754,11.37592123,11.90540789,10.56520427,4.484095146,3.168210612,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,837.7690557,802.8851432,612.6720133,583.1125397,600.4000067,608.6782436,720.1034311,707.2696544,523.6037695,554.2268118,535.1974215,537.7174828,499.716415,448.3731927,451.1715886,443.240136,414.6801151,397.9568723,327.1990837,594.4959701,676.7480933,768.5564101,856.2996191,905.5003242,896.1986245,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Zimbabwe,ZWE,3.929286964,2.803388212,-11.13485968,-1.074287025,7.138451092,-1.610806289,8.553249958,1.129349692,1.480921575,-1.998298623,-4.036059779,0.602544296,-9.521736707,-17.53265034,-6.493173138,-6.557725148,-4.516922655,-4.883986471,-18.87482494,4.242302364,9.360236527,9.694121691,8.212858418,2.151416915,0.814909572,..
Internet users (per 100 people),IT.NET.USER.P2,Zimbabwe,ZWE,0,..,..,..,0.00173928,0.00768354,0.016790484,0.033080327,0.081648476,0.161675528,0.401433535,0.799846046,3.994356135,6.394786458,6.564045027,8.015978089,9.791841502,10.85,11.4,11.36,11.5,15.7,17.09,18.5,19.89,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Zimbabwe,ZWE,46.28798381,46.25991226,46.2413126,46.28708404,46.32398618,46.34016095,46.32186625,46.2917618,45.844965,45.45028083,46.28559401,47.01862142,47.70839587,48.23823884,48.73089763,48.79472767,48.95873646,49.0038703,49.10555907,49.15143136,49.20061882,49.25233933,49.30439796,49.41245781,..,..
"Labor force, total",SL.TLF.TOTL.IN,Zimbabwe,ZWE,4136795,4273242,4406525,4532610,4660279,4784541,4885725,4989728,5017912,5024420,5364034,5668418,5953537,6223687,6470597,6532673,6612399,6706205,6806710,6921479,7042385,7196714,7360818,7532991,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Zimbabwe,ZWE,27.10293654,27.82224635,28.48576192,29.09787256,29.66733101,30.20068761,30.70353884,31.17450691,31.60589893,31.98660721,32.31221662,32.58107277,32.80711128,33.02096937,33.26309422,33.56447719,33.93548404,34.37455861,34.88551635,35.4685201,36.12226186,36.85043815,37.651498,38.51128861,39.41024945,..
