Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Afghanistan,AFG,1.880980627,1.378873332,1.286984723,1.195317543,1.120417771,9.019132807,9.7483162,9.505438041,8.678608142,8.474971291,8.29227792,..,2.266698627,2.334521904,0.461188353,0.441726536,0.808322104,0.78800928,1.41484677,3.749151019,4.352304586,4.652662701,4.434656972,4.142137774,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Albania,ALB,..,..,4.586673667,4.62609416,4.663242173,6.285834708,4.928147608,4.917688817,4.96469915,5.003313305,5.037678101,3.043510934,2.024487299,1.664215731,1.640505062,1.729752668,0.892582715,1.136441121,1.146302148,1.173833192,1.167020453,1.160795794,1.152627404,0.660440397,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Algeria,DZA,2.02875323,1.937069233,1.849863874,1.771086258,1.696006228,2.095463072,2.034175631,3.253541688,3.146115972,3.467820411,3.407439181,3.318221942,3.372311698,3.199709114,3.216295574,3.151351199,3.229393592,3.158231761,3.099891114,3.033338679,2.805008656,2.741627535,2.678572183,2.624006867,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Angola,AGO,2.792425873,3.537220283,2.912316299,2.784895337,2.524248563,2.490103878,2.120381469,2.441686495,2.44460228,2.345826747,2.097324421,2.51967424,1.850646439,2.115217526,1.858324198,1.806330453,1.64012864,1.700546791,1.649455468,1.587069696,1.525743598,1.474182156,1.422409737,1.371134295,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Argentina,ARG,0.63761933,0.520231931,0.477758153,0.470489215,0.491291292,0.684804793,0.710866475,0.703910016,0.695064144,0.668898036,0.66320568,0.644980384,0.632616624,0.631166407,0.582108352,0.574145163,0.594577366,0.589508587,0.58438644,0.565097725,0.564383934,0.556349871,0.548688204,0.548062174,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Armenia,ARM,..,..,1.236778069,1.335731714,2.934124982,4.060592021,3.93382816,4.14247394,3.702357667,3.695687323,2.871164145,2.905527123,3.111610606,3.140234182,3.409855596,3.445463239,3.347184982,3.022089314,3.049621702,3.98824698,3.826851641,3.704805495,3.248149349,3.195861392,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
